window,TW,hamming_mean_bias,hann_mean_bias,multitaper_mean_bias
0.01,4.0,0.06441165949433739,0.06473653386949588,0.06480122134463966
0.01,4.0,0.264038199438834,0.26452896291955075,0.24497471533750312
0.01,4.0,0.0022924361575233517,0.0021925883312888315,0.003070518549913945
0.01,4.0,0.0035936925873367937,0.0034627651664288135,0.0036409655755872345
0.01,4.0,0.011723218247885421,0.011357027915858148,0.017816848015815054
0.01,4.0,0.004051526203872643,0.002613893087568791,0.01776409567830466
0.01,4.0,0.1607806811058982,0.16094495057739538,0.1591998704473612
0.01,4.0,0.0022695162304906973,0.0022157828085317267,0.0035346249042663832
0.01,4.0,0.06461930045105532,0.06528044111825804,0.058033986959926495
0.01,4.0,0.02825670994448957,0.025879929686889104,0.052824620520474666
0.01,4.0,0.01037956313811808,0.009994951491040554,0.012462362055822308
0.01,4.0,0.0030121310504385703,0.0032241110738295857,0.0022591861166138634
0.01,4.0,0.05169105650637732,0.052015233293947104,0.04142208084789809
0.01,4.0,0.0022512716355510254,0.0022933497287131784,0.0028923292238880968
0.01,4.0,0.006150511834735252,0.005211617556777551,0.004997341019515647
0.01,4.0,0.25682278998645075,0.25823252044959516,0.2381336560161119
0.01,4.0,0.004502256885110897,0.004506693910324455,0.0036526786290838734
0.01,4.0,0.1043232045914539,0.1051334697014826,0.09051840814876287
0.01,4.0,0.06835864758282437,0.06661759922545285,0.07768147913836675
0.01,4.0,0.014502920226518334,0.013155426132799889,0.030307742915115333
0.01,4.0,0.03092626240097912,0.028742628390057805,0.06225181972256481
0.01,4.0,0.008313850617027243,0.006859242642733539,0.012862593936458605
0.01,4.0,0.03270293747176648,0.032659579516280346,0.036372837475023165
0.01,4.0,0.07810792888997121,0.07962396885015179,0.06368005223436848
0.01,4.0,0.229225504897628,0.2303562575296223,0.23521755544716347
0.01,4.0,0.01479889416430187,0.014588074861958891,0.01567529425050364
0.01,4.0,0.010605681132164788,0.010358192685944987,0.011584595916403014
0.01,4.0,0.12646429105033882,0.12231037617286811,0.18908481527660856
0.01,4.0,0.16547913164795908,0.1684103947876811,0.1237063639387829
0.01,4.0,0.09689719818060878,0.0999540242682482,0.0606319541867267
0.01,4.0,0.038990335545154894,0.03817849191630678,0.04527956152200323
0.01,4.0,0.007132751394525174,0.00689157212234782,0.007056817559854695
0.01,4.0,0.1487121415470551,0.15314411027062474,0.10512375045904543
0.01,4.0,0.003938126087232629,0.0033615779121738978,0.005869798719345409
0.01,4.0,0.012193832922349192,0.010918021773424647,0.022379964093071893
0.01,4.0,0.04408486506145271,0.04408161519732586,0.04231407809559885
0.01,4.0,0.0435235119642081,0.041526529634712026,0.07861184559880471
0.01,4.0,0.02811811221094144,0.02734631522149067,0.030125792083538355
0.01,4.0,0.0012750630677384517,0.0014045018440090556,0.0034064605196184976
0.01,4.0,0.10983563145111479,0.1091152854188097,0.11208696836927072
0.01,4.0,0.09064788104646503,0.09074723583937885,0.07838663984361703
0.01,4.0,0.026501044824401444,0.024429460552906332,0.0593987478998631
0.01,4.0,0.03843480744813628,0.03847251863863667,0.04120912138688748
0.01,4.0,0.062354432060134045,0.06436425176857272,0.0372421592033713
0.01,4.0,0.021011561296785195,0.020609882917681396,0.023640159296383863
